module,platform
demos/2d/area_input,Independente
doc/classes,Independente
drivers/alsa,Linux
drivers/builtin_openssl2,Windows
drivers/builtin_openssl2/crypto,Windows
drivers/builtin_openssl2/crypto/cmac,macOS
drivers/builtin_openssl2/crypto/dso,Windows
drivers/builtin_openssl2/crypto/hmac,macOS
drivers/builtin_openssl2/crypto/perlasm,Independente
drivers/builtin_openssl2/crypto/rand,Windows
drivers/builtin_openssl2/crypto/threads,Independente Windows
drivers/builtin_openssl/crypto,Windows
drivers/builtin_openssl/crypto/cmac,macOS
drivers/builtin_openssl/crypto/dso,Windows
drivers/builtin_openssl/crypto/hmac,macOS
drivers/builtin_openssl/crypto/perlasm,Independente
drivers/builtin_openssl/crypto/rand,Windows
drivers/builtin_openssl/crypto/threads,Independente Windows
drivers/chibi,Independente
drivers/coreaudio,Independente
drivers/freetype,Windows
drivers/freetype/freetype/include/freetype/internal/services,Independente
drivers/freetype/freetype/src,Independente
drivers/freetype/freetype/src/autofit,Independente
drivers/freetype/freetype/src/base,Independente
drivers/freetype/freetype/src/bdf,Independente
drivers/freetype/freetype/src/cache,Independente
drivers/freetype/freetype/src/cff,Independente
drivers/freetype/freetype/src/cid,Independente
drivers/freetype/freetype/src/gxvalid,Independente
drivers/freetype/freetype/src/otvalid,Independente
drivers/freetype/freetype/src/pcf,Independente
drivers/freetype/freetype/src/pfr,Independente
drivers/freetype/freetype/src/psaux,Independente
drivers/freetype/freetype/src/pshinter,Independente
drivers/freetype/freetype/src/psnames,Independente
drivers/freetype/freetype/src/raster,Independente
drivers/freetype/freetype/src/sfnt,Independente
drivers/freetype/freetype/src/smooth,Independente
drivers/freetype/freetype/src/truetype,Independente
drivers/freetype/freetype/src/type1,Independente
drivers/freetype/freetype/src/type42,Independente
drivers/freetype/freetype/src/winfonts,Independente
drivers/freetype/include/freetype/internal/services,Independente
drivers/freetype/src,Independente
drivers/freetype/src/autofit,Independente
drivers/freetype/src/base,Independente
drivers/freetype/src/bdf,Independente
drivers/freetype/src/cache,Independente
drivers/freetype/src/cff,Independente
drivers/freetype/src/cid,Independente
drivers/freetype/src/gxvalid,Independente
drivers/freetype/src/otvalid,Independente
drivers/freetype/src/pcf,Independente
drivers/freetype/src/pfr,Independente
drivers/freetype/src/psaux,Independente
drivers/freetype/src/pshinter,Independente
drivers/freetype/src/psnames,Independente
drivers/freetype/src/raster,Independente
drivers/freetype/src/sfnt,Independente
drivers/freetype/src/smooth,Independente
drivers/freetype/src/truetype,Independente
drivers/freetype/src/type1,Independente
drivers/freetype/src/type42,Independente
drivers/freetype/src/winfonts,Independente
drivers/nedmalloc,Independente
drivers/opus/silk/fixed,Windows
drivers/opus/silk/float,Windows
drivers/pulseaudio,Independente
drivers/rtaudio,Independente
drivers/theoraplayer/src,Independente
drivers/theoraplayer/src/AVFoundation,Independente
drivers/theoraplayer/src/FFmpeg,Independente
drivers/theoraplayer/src/Theora,Independente
drivers/theoraplayer/src/YUV,Independente
drivers/theoraplayer/src/YUV/android,Android
drivers/theoraplayer/src/YUV/C,Independente
drivers/theoraplayer/src/YUV/libyuv,Independente
drivers/theoraplayer/src/YUV/libyuv/include,Independente
drivers/theoraplayer/src/YUV/libyuv/include/libyuv,Independente
drivers/theoraplayer/src/YUV/libyuv/src,Independente Windows
drivers/windows,Windows
drivers/xaudio2,Windows
misc/dist/docker/scripts,Android
misc/dist/ios_xcode,iPhone
misc/dist/ios_xcode/godot_ios,iPhone
misc/dist/ios_xcode/godot_ios/dylibs,iPhone
misc/dist/ios_xcode/godot_ios/en.lproj,iPhone
misc/dist/ios_xcode/godot_ios/Images.xcassets/AppIcon.appiconset,iPhone
misc/dist/ios_xcode/godot_ios/Images.xcassets/LaunchImage.launchimage,iPhone
misc/dist/ios_xcode/godot_ios.xcodeproj,iPhone
misc/dist/ios_xcode/godot_ios.xcodeproj/project.xcworkspace,iPhone
misc/dist/ios_xcode/godot_ios.xcodeproj/xcshareddata/xcschemes,iPhone
misc/dist/ios_xcode/godot_xcode,iPhone
misc/dist/ios_xcode/godot_xcode/godot_ios,iPhone
misc/dist/ios_xcode/godot_xcode/godot_ios/en.lproj,iPhone
misc/dist/ios_xcode/godot_xcode/godot_ios/Images.xcassets/AppIcon.appiconset,iPhone
misc/dist/ios_xcode/godot_xcode/godot_ios.xcodeproj,iPhone
misc/dist/ios_xcode/godot_xcode/godot_ios.xcodeproj/project.xcworkspace,iPhone
misc/dist/linux,Linux
misc/travis,Android
modules/chibi,Independente
modules/enet,Windows
modules/enet/enet,Windows
modules/freetype,Windows
modules/gdnative/android,Android
modules/gdnative/include/android,Android
modules/gridmap,Independente
modules/gridmap/doc_classes,Independente
modules/mono/glue/cs_files,Independente
modules/visual_script/doc_classes,Independente
platform/android,Android
platform/android/export,Android
platform/android/globals,Android
platform/android/java,Android
platform/android/java/aidl/com/android/vending/billing,Android
platform/android/java/gradle/wrapper,Android
platform/android/java/res/layout,Android
platform/android/java/res/values,Android
platform/android/java/res/values-ar,Android
platform/android/java/res/values-bg,Android
platform/android/java/res/values-ca,Android
platform/android/java/res/values-cs,Android
platform/android/java/res/values-da,Android
platform/android/java/res/values-de,Android
platform/android/java/res/values-el,Android
platform/android/java/res/values-en,Android
platform/android/java/res/values-es,Android
platform/android/java/res/values-es-rES,Android
platform/android/java/res/values-fa,Android
platform/android/java/res/values-fi,Android
platform/android/java/res/values-fr,Android
platform/android/java/res/values-he,Android
platform/android/java/res/values-hi,Android
platform/android/java/res/values-hr,Android
platform/android/java/res/values-hu,Android
platform/android/java/res/values-id,Android
platform/android/java/res/values-in,Android
platform/android/java/res/values-it,Android
platform/android/java/res/values-iw,Android
platform/android/java/res/values-ja,Android
platform/android/java/res/values-ko,Android
platform/android/java/res/values-lt,Android
platform/android/java/res/values-lv,Android
platform/android/java/res/values-nb,Android
platform/android/java/res/values-nl,Android
platform/android/java/res/values-pl,Android
platform/android/java/res/values-pt,Android
platform/android/java/res/values-ro,Android
platform/android/java/res/values-ru,Android
platform/android/java/res/values-sk,Android
platform/android/java/res/values-sl,Android
platform/android/java/res/values-sr,Android
platform/android/java/res/values-sv,Android
platform/android/java/res/values-th,Android
platform/android/java/res/values-tl,Android
platform/android/java/res/values-tr,Android
platform/android/java/res/values-uk,Android
platform/android/java/res/values-v11,Android
platform/android/java/res/values-v9,Android
platform/android/java/res/values-vi,Android
platform/android/java/res/values-zh,Android
platform/android/java/res/values-zh-rCN,Android
platform/android/java/res/values-zh-rHK,Android
platform/android/java/res/values-zh-rTW,Android
platform/android/java/src/com/android/godot,Android
platform/android/java/src/com/android/godot/input,Android
platform/android/java/src/com/android/godot/payments,Android
