palavra,plataforma
gp2xwiz,gp2xwiz
editor/, Independente
androidwindow,Android
android,Android
windows,Windows
Windows,Windows
win8.1, Windows
win10, Windows
WindowsPhone,WindowsPhone
/win/,Windows
_win,Windows
WIN32,Windows
Win32,Windows
glext,Windows
linux,Linux
Linux,Linux
Unix,Linux
macosx,macOS
macos,macOS
FreeBSD,FreeBSD
OpenBSD,OpenBSD
mac/,macOS
OSX,macOS
osx,macOS
Android,Android
iphone/,iPhone
iphoneos,iPhone
iPhone,iPhone
-ios,iPhone
ios/,iPhone
/ios,iPhone
iOS,iPhone
x11,Linux
/x/,Linux
tizen,Linux
/dos/,Windows
alsa,Linux
cocoa,macOS
raspberry,Raspberry
wayland,Linux
uikit,iPhone
dummy,Dummy
winrt,Windows
directsound,Windows
psp,PSP
qsa,QNX
pandora,Pandora
arts,Linux
winmm,Windows
mir,Linux
esd,Linux
sun,Sun
xaudio2,Windows
bsd,BSD
ataricommon,Atari
direct3d11,Windows
nds,NSD
beos,BeOS
bwindow,Haiku
haiku,Haiku
haiku_direct_window,Haiku
win32,Windows
macrom,Macrom
mint,Linux
symbian,Symbian
windib,Windows
windx5,Windows
aix,Aix IBM
os2,OS2
direct3d,Windows
irix,Irix
wince,WinCE
picogui,Linux
wscons,NetBSD
wincommon,Windows
riscos,RiscOS
photon,Photon
ps2gs,PSP
qtopia,Linux
nanox,nanoX
maccommon,macOS
macdsp,macOS
ipod,iPod
gapi,WinCE
fbcon,Linux
Xext,Linux
quartz,macOS
ps3,PSP
dc/,DC/OS
qnxgf,QNX
qnx,QNX
nto,iPhone
mme,Windows
Symbian,Symbian
wp8, WindowsPhone
uwp, UWP
rtaudio, Windows
