Pasta,Plataforma
src,Independente
src/atomic,Independente
src/audio,Independente
src/audio/alsa,Linux
src/audio/android,Android
src/audio/arts,Linux
src/audio/coreaudio,Independente
src/audio/directsound,Windows
src/audio/disk,Independente
src/audio/dma,Independente
src/audio/dsp,Independente
src/audio/dummy,Independente
src/audio/esd,Linux
src/audio/fusionsound,Independente
src/audio/iphoneos,iPhone
src/audio/jack,Independente
src/audio/macosx,macOS
src/audio/nas,Independente
src/audio/pulseaudio,Independente
src/audio/sndio,Independente
src/audio/ums,Independente
src/audio/wasapi,Windows
src/audio/windx5,Windows
src/audio/winmm,Windows
src/audio/xaudio2,Windows
src/core/android,Android
src/core/linux,Linux
src/core/unix,Independente
src/core/windows,Windows
src/core/windowsrt,Windows
src/core/winrt,Windows
src/cpuinfo,Independente
src/dynapi,Independente
src/events,Windows
src/file,Independente
src/file/cocoa,macOS
src/filesystem/android,Android
src/filesystem/cocoa,Independente
src/filesystem/unix,Linux
src/filesystem/windows,Windows
src/filesystem/winrt,Windows
src/haptic,Independente
src/haptic/android,Android
src/haptic/darwin,Windows
src/haptic/dummy,Independente
src/haptic/linux,Linux
src/haptic/windows,Windows
src/input/evdev,Independente
src/joystick,Independente
src/joystick/android,Android
src/joystick/darwin,Windows
src/joystick/iphoneos,iPhone
src/joystick/linux,Linux
src/joystick/steam,Independente
src/joystick/windows,Windows
src/joystick/windowsrt,Windows
src/joystick/winrt,Windows
src/libm,Independente
src/loadso/dlopen,Independente
src/loadso/macosx,macOS
src/loadso/windows,Windows
src/main/android,Android
src/main/dummy,Independente
src/main/windows,Windows
src/main/windowsrt,Windows
src/main/winrt,Windows
src/power,Independente
src/power/android,Android
src/power/linux,Linux
src/power/macosx,Independente
src/power/uikit,iPhone
src/power/windows,Windows
src/power/winrt,Windows
src/render,Independente
src/render/direct3d,Windows
src/render/direct3d11,Windows
src/render/metal,Independente
src/render/opengl,Independente
src/render/opengles,Independente
src/render/opengles2,Independente
src/render/psp,Independente
src/render/software,Independente
src/stdlib,Independente
src/test,Independente
src/thread,Independente
src/thread/generic,Independente
src/thread/pthread,Independente
src/thread/stdcpp,Independente
src/thread/windows,Windows
src/timer,Independente
src/timer/unix,Independente
src/timer/windows,Windows
src/video,Independente
src/video/android,Android
src/video/cocoa,macOS
src/video/directfb,Independente
src/video/dummy,Independente
src/video/khronos/EGL,Independente
src/video/khronos/GLES2,Independente
src/video/khronos/KHR,Independente
src/video/khronos/vulkan,Independente
src/video/kmsdrm,Independente
src/video/mir,Linux
src/video/uikit,iPhone
src/video/wayland,Linux
src/video/win32,Windows
src/video/windows,Windows
src/video/windowsrt,Windows
src/video/winrt,Windows
src/video/x11,Linux
src/video/yuv2rgb,Independente
